Area.code408,Area.code415,International.plan,Voice.mail.plan,Account.length,Number.vmail.messages,Total.day.minutes,Total.day.calls,Total.eve.minutes,Total.eve.calls,Total.night.minutes,Total.night.calls,Total.intl.minutes,Total.intl.calls,Customer.service.calls,Churn
1,0,0,0,0.400159488,-0.591671078,0.086747365,-0.171190849,2.969990812,-1.00962153,0.295171589,-0.51652678,-0.550638281,-0.194801383,-0.42786782,0
0,1,0,0,-0.905647897,-0.591671078,-0.930375005,1.821924511,0.542645746,-0.859038966,0.156760129,0.556620506,0.882108813,0.617805639,1.852649415,1
0,1,0,0,1.505073429,-0.591671078,2.811313425,-1.666027369,2.303506139,-0.156320334,-0.796301638,1.425358784,-1.732654633,1.836716173,1.852649415,1
0,1,0,0,0.249489405,-0.591671078,-1.273699704,0.127776455,-1.255679761,0.094650607,-0.222882732,0.250006996,-0.908825054,0.617805639,0.332304592,0
0,0,0,0,-1.307434784,-0.591671078,-1.110299179,0.825366831,0.278418095,0.446009923,-0.438409148,-0.51652678,0.309009976,-1.413711917,-0.42786782,0
1,0,0,1,-1.633886631,1.59997118,-0.614589721,1.373473555,-0.758774028,-1.00962153,-1.415198594,0.454416002,1.526845005,0.617805639,-1.188040232,0
0,1,0,0,-0.905647897,-0.591671078,0.578784901,0.974850483,-0.75680218,1.098534367,-1.30842404,0.914336267,1.0612022,0.211502128,1.092477003,0
0,1,0,0,0.450382849,-0.591671078,-0.379586718,0.675883179,0.597857495,0.847563427,-1.140352981,-0.465424528,-0.514819604,-0.601104895,2.612821826,1
1,0,0,0,-2.286790323,-0.591671078,0.11612274,0.576227411,-0.212572093,-1.712340162,1.619966992,-2.202901086,0.416466008,0.617805639,0.332304592,0
0,1,0,0,-0.830312855,-0.591671078,-0.568690697,-1.516543717,0.897578412,3.206690264,-1.405312061,0.147802492,0.667196749,-0.601104895,1.092477003,0
0,0,0,1,-0.679642773,1.819135406,0.255655773,-0.470158153,0.88969102,-0.206514522,-1.243172923,-0.414322276,1.562663683,-0.601104895,0.332304592,0
0,1,0,0,-0.403414287,-0.591671078,1.028595336,0.426743759,-0.86328198,-0.306902898,-0.250565024,-0.056606515,0.631378072,-0.601104895,-1.188040232,0
0,1,0,0,-1.382769826,-0.591671078,0.630191808,-1.416887949,-0.721308914,0.195038983,-0.462136827,0.658825009,-0.729731668,-0.601104895,0.332304592,0
0,0,0,1,0.676387973,1.526916438,-0.008722605,0.177604339,0.491377695,-0.708456402,2.414844233,-1.1297538,-0.586456958,1.02410915,-1.188040232,0
0,1,0,0,1.354403346,-0.591671078,0.433743986,-0.021707197,-0.198769156,0.195038983,-0.096335112,0.965438519,-0.479000926,-0.194801383,-1.188040232,1
0,1,0,0,-0.704754453,-0.591671078,-0.361227109,0.476571643,0.242924829,-1.411175034,-0.529365251,-1.43636731,0.989564845,-0.194801383,-1.188040232,0
0,1,0,0,-0.604307731,-0.591671078,1.322349089,-1.416887949,0.09306437,1.299311119,1.469691692,0.454416002,-0.15663283,1.02410915,0.332304592,1
0,1,0,0,0.174154364,-0.591671078,-0.027082214,1.821924511,-0.23623427,-1.210398282,-1.419153207,0.09670024,1.562663683,0.211502128,-1.188040232,0
1,0,0,0,-0.152297482,-0.591671078,-0.822053309,-0.071535081,-0.34271407,0.295427359,0.878477028,0.09670024,0.810471458,1.836716173,-0.42786782,0
0,0,0,1,-1.633886631,1.526916438,1.865793532,0.077948571,0.024049685,-1.210398282,-0.27033809,0.658825009,-0.443182249,0.617805639,0.332304592,0
0,1,0,1,1.002839819,1.746080664,-0.572362619,-0.470158153,-1.377934346,-0.156320334,0.366354626,2.140790308,-0.049176798,-1.413711917,-0.42786782,0
0,1,0,0,-0.955871258,-0.591671078,-2.219219597,1.223989903,-0.61877281,-2.063699479,0.2081701,-0.618731283,-0.299907539,-0.601104895,-0.42786782,0
1,0,0,0,-0.102074122,-0.591671078,1.102033774,1.223989903,0.272502551,0.546398299,-1.138375674,-0.976447045,-0.550638281,0.211502128,0.332304592,0
1,0,0,0,-0.654531092,-0.591671078,-0.247397529,1.223989903,-0.843563499,-0.708456402,1.103889977,-1.027549297,-1.481923892,0.211502128,-0.42786782,0
1,0,0,0,0.651276293,-0.591671078,-0.607245877,-0.470158153,0.049683711,-1.110009906,0.049985574,0.505518254,1.240295587,-0.601104895,-0.42786782,0
1,0,0,0,0.50060621,-0.591671078,0.031668536,1.024678367,0.343489084,-0.106126146,-0.776528572,0.147802492,-0.622275636,0.211502128,-0.42786782,0
0,1,0,0,0.400159488,-0.591671078,-1.413232737,0.925022599,0.112782851,-0.457485462,1.940290656,0.250006996,-0.049176798,1.02410915,-0.42786782,0
1,0,0,0,-0.905647897,-0.591671078,0.149170038,0.775538947,-0.855394588,0.847563427,0.522561845,-0.720935787,-0.980462409,0.617805639,-0.42786782,0
0,0,0,0,-2.387237045,-0.591671078,0.070223716,0.825366831,1.098706923,-1.411175034,-0.440386455,-1.078651548,-0.013358121,-1.007408406,-0.42786782,0
0,0,0,0,-1.734333353,-0.591671078,0.938633249,-0.669469689,-0.267783841,-0.50767965,-0.926803871,-2.407310092,-1.410286537,-1.007408406,-1.188040232,0
1,0,0,1,-0.930759577,1.380806954,0.042684302,-0.470158153,-0.616800962,-0.106126146,-0.715232068,-0.720935787,0.129916589,0.211502128,0.332304592,0
0,1,0,0,-1.910115116,-0.591671078,-1.110299179,-0.669469689,0.207431562,0.044456419,1.345121378,-0.720935787,0.094097911,-0.194801383,1.092477003,0
0,1,0,0,-0.905647897,-0.591671078,-1.156198203,-0.669469689,-0.435390933,-0.357097086,-0.365248805,2.549608322,1.383570296,-1.007408406,-0.42786782,0
0,1,0,0,0.651276293,-0.591671078,0.409876493,0.127776455,0.56039238,-0.708456402,-0.112153564,0.658825009,0.452284685,-0.601104895,0.332304592,0
0,1,0,0,-0.202520843,-0.591671078,1.685869358,-1.466715833,0.56039238,0.395815735,-2.443398011,1.067643023,0.237372621,-0.601104895,0.332304592,0
0,0,0,0,2.685322411,-0.591671078,2.693811924,-1.666027369,-0.486658985,0.646786675,-0.379089951,0.09670024,0.165735266,0.617805639,0.332304592,1
